Stock Type,Date,Open,High,Low,Close,Volume,Adj Close
S&P 500,5/3/2010,1188.58,1205.13,1040.78,1089.41,6626699400,1089.41
S&P 500,4/1/2010,1171.23,1219.8,1170.69,1186.69,5847150900,1186.69
S&P 500,3/1/2010,1105.36,1180.69,1105.36,1169.43,4702951700,1169.43
S&P 500,2/1/2010,1073.89,1112.42,1044.5,1104.49,4658238400,1104.49
S&P 500,1/4/2010,1116.56,1150.45,1071.59,1073.87,5071601500,1073.87
S&P 500,12/1/2009,1098.89,1130.38,1085.89,1115.1,4163287200,1115.1
S&P 500,11/2/2009,1036.18,1113.69,1029.38,1095.63,4443852500,1095.63
S&P 500,10/1/2009,1054.91,1101.36,1019.95,1036.19,5451064000,1036.19
S&P 500,9/1/2009,1019.52,1080.15,991.97,1057.08,5633064200,1057.08
S&P 500,8/3/2009,990.22,1039.47,978.51,1020.62,5764944200,1020.62
S&P 500,7/1/2009,920.82,996.68,869.32,987.48,5080675400,987.48
S&P 500,6/1/2009,923.26,956.23,888.86,919.32,5330941800,919.32
S&P 500,5/1/2009,872.74,930.17,866.1,919.14,6883268000,919.14
S&P 500,4/1/2009,793.59,888.7,783.32,872.81,6938945600,872.81
S&P 500,3/2/2009,729.57,832.98,666.79,797.87,7633306300,797.87
S&P 500,2/2/2009,823.09,875.01,734.52,735.09,7022036200,735.09
S&P 500,1/2/2009,902.99,943.85,804.3,825.88,5844561500,825.88
S&P 500,12/1/2008,888.61,918.85,815.69,903.25,5320791300,903.25
S&P 500,11/3/2008,968.67,1007.51,741.02,896.24,6231635200,896.24
S&P 500,10/1/2008,1164.17,1167.03,839.8,968.75,7226593900,968.75
S&P 500,9/2/2008,1287.83,1303.04,1106.42,1166.36,6900428500,1166.36
S&P 500,8/1/2008,1269.42,1313.15,1247.45,1282.83,4264482300,1282.83
S&P 500,7/1/2008,1276.69,1292.17,1200.44,1267.38,5923937200,1267.38
S&P 500,6/2/2008,1399.62,1404.05,1272,1280,4840303300,1280
S&P 500,5/1/2008,1385.97,1440.24,1373.07,1400.38,4039814700,1400.38
S&P 500,4/1/2008,1326.41,1404.57,1324.35,1385.59,4113069000,1385.59
S&P 500,3/3/2008,1330.45,1359.68,1256.98,1322.7,4661172000,1322.7
S&P 500,2/1/2008,1378.6,1396.02,1316.75,1330.63,4148143000,1330.63
S&P 500,1/2/2008,1467.97,1471.77,1270.05,1378.55,4925982300,1378.55
S&P 500,12/3/2007,1479.63,1523.57,1435.65,1468.36,3363127500,1468.36
S&P 500,11/1/2007,1545.79,1545.79,1406.1,1481.14,4317578500,1481.14
S&P 500,10/1/2007,1527.29,1576.09,1489.56,1549.38,3477202100,1549.38
S&P 500,9/4/2007,1473.96,1538.74,1439.29,1526.75,3196581500,1526.75
S&P 500,8/1/2007,1455.18,1503.89,1370.6,1473.99,4091885600,1473.99
S&P 500,7/2/2007,1504.66,1555.9,1454.25,1455.27,3564664200,1455.27
S&P 500,6/1/2007,1530.62,1540.56,1484.18,1503.35,3261343300,1503.35
S&P 500,5/1/2007,1482.37,1535.56,1476.7,1530.62,3104253600,1530.62
S&P 500,4/2/2007,1420.83,1498.02,1416.37,1482.37,3006294500,1482.37
S&P 500,3/1/2007,1406.8,1438.89,1363.98,1420.86,3205736800,1420.86
S&P 500,2/1/2007,1437.9,1461.57,1389.42,1406.82,2935275700,1406.82
S&P 500,1/3/2007,1418.03,1441.61,1403.97,1438.24,2983144500,1438.24
S&P 500,12/1/2006,1400.63,1431.81,1385.93,1418.3,2462849000,1418.3
S&P 500,11/1/2006,1377.76,1407.89,1360.98,1400.63,2826198000,1400.63
S&P 500,10/2/2006,1335.82,1389.45,1327.1,1377.94,2708938600,1377.94
S&P 500,9/1/2006,1303.8,1340.28,1290.93,1335.85,2563743500,1335.85
S&P 500,8/1/2006,1278.53,1306.74,1261.3,1303.82,2280876500,1303.82
S&P 500,7/3/2006,1270.06,1280.42,1224.54,1276.66,2440476000,1276.66
S&P 500,6/1/2006,1270.05,1290.68,1219.29,1270.2,2632855400,1270.2
S&P 500,5/1/2006,1310.61,1326.7,1245.34,1270.09,2591135900,1270.09
S&P 500,4/3/2006,1302.88,1318.16,1280.74,1310.61,2406755200,1310.61
S&P 500,3/1/2006,1280.66,1310.88,1268.42,1294.87,2310510800,1294.87
S&P 500,2/1/2006,1280.08,1297.57,1253.61,1280.66,2380568400,1280.66
S&P 500,1/3/2006,1248.29,1294.9,1245.74,1280.08,2595998000,1280.08
S&P 500,12/1/2005,1249.48,1275.8,1246.59,1248.29,2057125200,1248.29
S&P 500,11/1/2005,1207.01,1270.64,1201.07,1249.48,2260836100,1249.48
S&P 500,10/3/2005,1228.81,1233.34,1168.2,1207.01,2493393300,1207.01
S&P 500,9/1/2005,1220.33,1243.13,1205.35,1228.81,2232144200,1228.81
S&P 500,8/1/2005,1234.18,1245.86,1201.07,1220.33,1930243400,1220.33
S&P 500,7/1/2005,1191.33,1245.15,1183.55,1234.18,1962713500,1234.18
S&P 500,6/1/2005,1191.5,1219.59,1188.3,1191.33,1929251300,1191.33
S&P 500,5/2/2005,1156.85,1199.56,1146.18,1191.5,1960127100,1191.5
S&P 500,4/1/2005,1180.59,1191.88,1136.15,1156.85,2180315700,1156.85
S&P 500,3/1/2005,1203.6,1229.11,1163.69,1180.59,1874017200,1180.59
S&P 500,2/7/2005,1203.03,1212.44,1184.16,1203.6,1643103300,1203.6
Facebook,3/3/2014,66.96,71.97,66.51,70.84,66364500,70.84
Facebook,2/3/2014,63.03,71.44,60.7,68.46,61976700,68.46
Facebook,1/2/2014,54.83,63.37,51.85,62.57,65833700,62.57
Facebook,12/2/2013,46.9,58.58,46.26,54.65,73899000,54.65
Facebook,11/1/2013,50.85,52.09,43.55,47.01,68882000,47.01
Facebook,10/1/2013,49.97,54.83,45.26,50.21,98509800,50.21
Facebook,9/3/2013,41.84,51.6,41.44,50.23,84075500,50.23
Facebook,8/1/2013,37.3,41.94,36.02,41.28,63412300,41.28
Facebook,7/1/2013,24.97,38.31,24.15,36.8,72228300,36.8
Facebook,6/3/2013,24.27,25.19,22.67,24.88,44226000,24.88
Facebook,5/1/2013,27.85,29.07,23.26,24.35,46203400,24.35
Facebook,4/1/2013,25.63,28.1,25.15,27.77,35185900,27.77
Facebook,3/1/2013,27.05,28.68,24.72,25.58,37788300,25.58
Facebook,2/1/2013,31.01,31.02,26.34,27.25,54769300,27.25
Facebook,1/2/2013,27.44,32.51,27.42,30.98,88885500,30.98
Facebook,12/3/2012,28,28.88,25.15,26.62,62610300,26.62
Facebook,11/1/2012,21.08,28,18.87,28,78787600,28
Facebook,10/1/2012,22.08,24.25,18.8,21.11,57161900,21.11
Facebook,9/4/2012,18.08,23.37,17.55,21.66,59164700,21.66
Facebook,8/1/2012,21.5,22.45,18.03,18.06,52639500,18.06
Facebook,7/2/2012,31.25,32.88,21.61,21.71,27446100,21.71
Facebook,6/1/2012,28.89,33.45,25.52,31.1,32735100,31.1
Facebook,5/18/2012,42.05,45,26.83,29.6,151461300,29.6
Plug Power Inc.,3/3/2014,4.6,7.09,4.5,6.36,89392000,6.36
Plug Power Inc.,2/3/2014,3.1,4.84,2.8,4.67,22078600,4.67
Plug Power Inc.,1/2/2014,2.06,4.9,1.89,3.02,37469000,3.02
Plug Power Inc.,12/2/2013,0.75,2.24,0.74,1.55,14782900,1.55
Plug Power Inc.,11/1/2013,0.6,0.74,0.45,0.74,2441700,0.74
Plug Power Inc.,10/1/2013,0.75,0.77,0.55,0.58,3031500,0.58
Plug Power Inc.,9/3/2013,0.53,0.8,0.52,0.74,5912800,0.74
Plug Power Inc.,8/1/2013,0.45,0.58,0.36,0.51,3154200,0.51
Plug Power Inc.,7/1/2013,0.4,0.48,0.26,0.44,2132700,0.44
Plug Power Inc.,6/3/2013,0.41,0.53,0.34,0.38,4130200,0.38
Plug Power Inc.,5/1/2013,0.16,0.47,0.15,0.38,5384600,0.38
Plug Power Inc.,4/1/2013,0.19,0.21,0.15,0.16,1081100,0.16
Plug Power Inc.,3/1/2013,0.18,0.32,0.14,0.22,3594700,0.22
Plug Power Inc.,2/1/2013,0.46,0.47,0.12,0.17,4247900,0.17
Plug Power Inc.,1/2/2013,0.5,0.76,0.44,0.45,285600,0.45
Plug Power Inc.,12/3/2012,0.69,0.69,0.47,0.5,167800,0.5
Plug Power Inc.,11/1/2012,0.75,0.81,0.59,0.62,87300,0.62
Plug Power Inc.,10/1/2012,0.83,0.92,0.67,0.74,81000,0.74
Plug Power Inc.,9/4/2012,0.94,0.97,0.76,0.83,95400,0.83
Plug Power Inc.,8/1/2012,1.21,1.3,0.92,0.96,97800,0.96
Plug Power Inc.,7/2/2012,1.16,1.25,1.1,1.2,141500,1.2
Plug Power Inc.,6/1/2012,1.15,1.22,1.1,1.14,81900,1.14
Plug Power Inc.,5/1/2012,1.3,1.33,1.12,1.15,137200,1.15
Plug Power Inc.,4/2/2012,1.34,1.41,1.11,1.32,236700,1.32
Plug Power Inc.,3/1/2012,2.22,2.28,1.26,1.31,524700,1.31
Plug Power Inc.,2/1/2012,1.97,2.6,1.94,2.22,239400,2.22
Plug Power Inc.,1/3/2012,2.06,2.09,1.8,1.94,105200,1.94
Plug Power Inc.,12/1/2011,2.2,2.4,1.95,2.04,138700,2.04
Plug Power Inc.,11/1/2011,2.23,2.71,1.92,2.22,326100,2.22
Plug Power Inc.,10/3/2011,1.8,2.35,1.5,2.25,176800,2.25
Plug Power Inc.,9/1/2011,1.83,2.18,1.62,1.82,147600,1.82
Plug Power Inc.,8/1/2011,2.4,2.42,1.35,1.82,321900,1.82
Plug Power Inc.,7/1/2011,2.3,2.63,2.02,2.35,527400,2.35
Plug Power Inc.,6/1/2011,2.49,2.49,1.91,2.22,348100,2.22
Plug Power Inc.,5/2/2011,0.6,5.87,0.42,2.45,353200,2.45
Plug Power Inc.,4/1/2011,0.73,0.78,0.42,0.57,97600,5.7
Plug Power Inc.,3/1/2011,0.73,0.8,0.57,0.76,63600,7.6
Plug Power Inc.,2/1/2011,0.77,0.92,0.71,0.73,113800,7.3
Plug Power Inc.,1/3/2011,0.38,1.07,0.36,0.75,265500,7.5
Plug Power Inc.,12/1/2010,0.41,0.43,0.36,0.37,47000,3.7
Plug Power Inc.,11/1/2010,0.51,0.57,0.4,0.41,46100,4.1
Plug Power Inc.,10/1/2010,0.39,0.56,0.37,0.5,59700,5
Plug Power Inc.,9/1/2010,0.41,0.44,0.37,0.38,24400,3.8
Plug Power Inc.,8/2/2010,0.48,0.5,0.4,0.4,24100,4
Plug Power Inc.,7/1/2010,0.45,0.57,0.4,0.46,23700,4.6
Plug Power Inc.,6/1/2010,0.44,0.63,0.36,0.46,70700,4.6
Plug Power Inc.,5/3/2010,0.65,0.65,0.36,0.42,83800,4.2
Plug Power Inc.,4/1/2010,0.68,0.73,0.62,0.66,61400,6.6
Plug Power Inc.,3/1/2010,0.54,0.75,0.52,0.69,157800,6.9
Plug Power Inc.,2/1/2010,0.59,0.65,0.49,0.53,62300,5.3
Plug Power Inc.,1/4/2010,0.74,0.76,0.54,0.58,87100,5.8
Plug Power Inc.,12/1/2009,0.8,0.81,0.65,0.71,62800,7.1
Plug Power Inc.,11/2/2009,0.93,0.94,0.77,0.8,25200,8
Plug Power Inc.,10/1/2009,0.87,1.35,0.79,0.86,162600,8.6
Plug Power Inc.,9/1/2009,0.7,0.97,0.66,0.88,80000,8.8
Plug Power Inc.,8/3/2009,0.77,0.82,0.69,0.7,58900,7
Plug Power Inc.,7/1/2009,0.89,0.89,0.72,0.79,35400,7.9
Plug Power Inc.,6/1/2009,0.93,1.22,0.73,0.88,151000,8.8
Plug Power Inc.,5/1/2009,1,1.07,0.89,0.93,26100,9.3
Plug Power Inc.,4/1/2009,0.84,1.15,0.8,0.99,32200,9.9
Plug Power Inc.,3/2/2009,0.91,1.05,0.68,0.87,40800,8.7
Plug Power Inc.,2/2/2009,0.91,1.09,0.78,0.96,41800,9.6
Plug Power Inc.,1/2/2009,1.02,1.15,0.81,0.9,24300,9
Plug Power Inc.,12/1/2008,1.05,1.55,0.87,1.02,44300,10.2
Plug Power Inc.,11/3/2008,1.02,1.07,0.66,1.03,33700,10.3
Plug Power Inc.,10/1/2008,1.04,1.29,0.64,0.98,67000,9.8
Plug Power Inc.,9/2/2008,2.81,2.83,0.9,0.99,114800,9.9
Plug Power Inc.,8/1/2008,2.31,2.95,2.02,2.71,37200,27.1
Plug Power Inc.,7/1/2008,2.35,2.52,1.82,2.4,55700,24
Plug Power Inc.,6/2/2008,3.14,3.14,2.3,2.35,116700,23.5
Plug Power Inc.,5/1/2008,3.22,3.33,2.99,3.14,48200,31.4
Plug Power Inc.,4/1/2008,3.16,3.62,3.07,3.23,36500,32.3
Plug Power Inc.,3/3/2008,3.01,3.37,2.78,3.11,43400,31.1
Plug Power Inc.,2/1/2008,2.72,3.42,2.71,3.01,48000,30.1
Plug Power Inc.,1/2/2008,4.03,4.19,2.51,2.74,73600,27.4
Plug Power Inc.,12/3/2007,3.62,4.55,3.45,3.95,95700,39.5
Plug Power Inc.,11/1/2007,3.45,3.89,3.15,3.62,74800,36.2
Plug Power Inc.,10/1/2007,3.1,4.75,2.95,3.49,140900,34.9
Plug Power Inc.,9/4/2007,2.73,3.1,2.62,3.1,44300,31
Plug Power Inc.,8/1/2007,2.96,3.1,2.42,2.7,64900,27
Plug Power Inc.,7/2/2007,3.19,3.34,2.85,2.97,51200,29.7
Plug Power Inc.,6/1/2007,2.95,3.27,2.9,3.14,92500,31.4
Plug Power Inc.,5/1/2007,3.14,3.53,2.9,2.96,56400,29.6
Plug Power Inc.,4/2/2007,3.21,3.4,3.1,3.16,62900,31.6
Plug Power Inc.,3/1/2007,3.34,3.38,2.77,3.16,107100,31.6
Plug Power Inc.,2/1/2007,3.6,3.98,3.35,3.48,89500,34.8
Plug Power Inc.,1/3/2007,3.9,3.94,3.25,3.6,72200,36
Plug Power Inc.,12/1/2006,4.08,4.19,3.68,3.89,81500,38.9
Plug Power Inc.,11/1/2006,4.07,4.3,3.77,4.06,65100,40.6
Plug Power Inc.,10/2/2006,4.08,4.5,3.85,3.99,60500,39.9
Plug Power Inc.,9/1/2006,4.76,4.79,3.77,4.07,76700,40.7
Plug Power Inc.,8/1/2006,3.99,4.81,3.77,4.74,47300,47.4
Plug Power Inc.,7/3/2006,4.74,4.89,3.53,4.04,79500,40.4
Plug Power Inc.,6/1/2006,5.09,5.4,4.5,4.67,92500,46.7
Plug Power Inc.,5/1/2006,6.01,6.38,5,5.11,84200,51.1
Plug Power Inc.,4/3/2006,5.02,6.6,4.8,6,293600,60
Plug Power Inc.,3/1/2006,5.17,5.18,4.55,5,137400,50
Plug Power Inc.,2/1/2006,6.03,6.1,4.98,5.09,132500,50.9
Plug Power Inc.,1/3/2006,5.23,6.13,5.09,5.95,92100,59.5
Plug Power Inc.,12/1/2005,5.13,6.24,5.1,5.13,111700,51.3
Plug Power Inc.,11/1/2005,5.8,6.05,4.84,5.13,104100,51.3
Plug Power Inc.,10/3/2005,6.81,7.12,5.45,5.8,62700,58
Plug Power Inc.,9/1/2005,7.5,7.73,6.25,6.8,88700,68
Plug Power Inc.,8/1/2005,7.2,7.54,6.05,7.41,139500,74.1
Plug Power Inc.,7/1/2005,6.85,7.5,5.85,7.15,106500,71.5
Plug Power Inc.,6/1/2005,6.2,7.63,5.96,6.85,73800,68.5
Plug Power Inc.,5/2/2005,5.63,6.58,5.21,6.22,50800,62.2
Plug Power Inc.,4/1/2005,6.56,6.8,5.47,5.55,63900,55.5
Plug Power Inc.,3/1/2005,7.14,8.2,6.07,6.6,82400,66
Plug Power Inc.,2/7/2005,5.86,7.67,5.48,7.15,116200,71.5
